"GEO_ID","B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Geographic Area Name"
"1400000US25023501201","3576","198","3407","205","0","127","42","51","99","62","28","35","Census Tract 5012.01, Plymouth County, Massachusetts"
"1400000US25023501202","7000","258","6580","264","7","12","37","31","273","125","103","49","Census Tract 5012.02, Plymouth County, Massachusetts"
"1400000US25023502101","5866","363","5464","356","0","127","45","44","188","112","169","151","Census Tract 5021.01, Plymouth County, Massachusetts"
"1400000US25023502102","5410","400","5105","431","15","25","0","127","183","156","107","105","Census Tract 5021.02, Plymouth County, Massachusetts"
"1400000US25023502200","6235","353","5824","399","0","127","5","10","258","171","148","116","Census Tract 5022, Plymouth County, Massachusetts"
"1400000US25023503101","7062","235","6805","229","0","127","29","33","179","131","49","56","Census Tract 5031.01, Plymouth County, Massachusetts"
"1400000US25023503102","6681","234","6455","252","0","127","26","30","132","87","68","59","Census Tract 5031.02, Plymouth County, Massachusetts"
"1400000US25023504101","5437","188","5095","222","0","127","56","41","168","79","118","148","Census Tract 5041.01, Plymouth County, Massachusetts"
"1400000US25023504102","4933","188","4625","206","0","127","73","45","170","93","65","46","Census Tract 5041.02, Plymouth County, Massachusetts"
"1400000US25023505101","6772","358","6385","364","0","127","100","63","255","125","32","35","Census Tract 5051.01, Plymouth County, Massachusetts"
"1400000US25023505102","4967","296","4836","287","0","127","0","127","26","23","105","94","Census Tract 5051.02, Plymouth County, Massachusetts"
"1400000US25023505200","6336","462","5869","473","0","127","45","72","319","236","103","96","Census Tract 5052, Plymouth County, Massachusetts"
"1400000US25023506101","6587","336","6306","331","0","127","43","40","125","78","113","94","Census Tract 5061.01, Plymouth County, Massachusetts"
"1400000US25023506102","6008","334","5723","341","0","127","77","63","111","72","97","68","Census Tract 5061.02, Plymouth County, Massachusetts"
