"B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","GEO_ID","NAME"
"Estimate!!Mean usual hours--!!Total:","Margin of Error!!Mean usual hours--!!Total:","Estimate!!Mean usual hours--!!Total:!!Male","Margin of Error!!Mean usual hours--!!Total:!!Male","Estimate!!Mean usual hours--!!Total:!!Female","Margin of Error!!Mean usual hours--!!Total:!!Female","id","Geographic Area Name"
"37.1","1.0","39.3","1.3","34.9","1.5","1400000US25017311600","Census Tract 3116, Middlesex County, Massachusetts"
"36.6","1.2","37.9","1.7","34.9","2.1","1400000US25017311700","Census Tract 3117, Middlesex County, Massachusetts"
"38.1","1.9","38.6","2.9","37.5","2.5","1400000US25017311800","Census Tract 3118, Middlesex County, Massachusetts"
"36.6","1.7","37.2","2.6","36.0","2.9","1400000US25017311900","Census Tract 3119, Middlesex County, Massachusetts"
"38.2","1.3","40.6","1.6","36.0","1.9","1400000US25017312000","Census Tract 3120, Middlesex County, Massachusetts"
"38.0","2.6","40.1","3.3","35.8","2.6","1400000US25017312100","Census Tract 3121, Middlesex County, Massachusetts"
"37.0","2.0","40.5","2.3","33.0","2.9","1400000US25017312200","Census Tract 3122, Middlesex County, Massachusetts"
"40.0","1.2","42.9","1.3","36.8","2.4","1400000US25017312300","Census Tract 3123, Middlesex County, Massachusetts"
"36.3","1.9","38.8","2.3","33.6","2.9","1400000US25017312400","Census Tract 3124, Middlesex County, Massachusetts"
"36.4","1.1","39.2","2.1","34.0","1.4","1400000US25017312501","Census Tract 3125.01, Middlesex County, Massachusetts"
"39.0","1.2","42.0","1.2","36.5","1.9","1400000US25017312502","Census Tract 3125.02, Middlesex County, Massachusetts"
"38.7","1.4","42.8","2.2","34.6","2.5","1400000US25017313101","Census Tract 3131.01, Middlesex County, Massachusetts"
"38.5","1.8","42.7","2.4","34.4","2.0","1400000US25017313102","Census Tract 3131.02, Middlesex County, Massachusetts"
"38.2","1.4","41.3","1.7","35.1","2.0","1400000US25017314101","Census Tract 3141.01, Middlesex County, Massachusetts"
"36.4","2.0","38.1","2.5","34.4","2.8","1400000US25017314102","Census Tract 3141.02, Middlesex County, Massachusetts"
"37.1","1.6","39.4","2.2","34.6","2.0","1400000US25017314200","Census Tract 3142, Middlesex County, Massachusetts"
"39.7","1.7","43.3","2.3","36.0","1.8","1400000US25017314301","Census Tract 3143.01, Middlesex County, Massachusetts"
"36.8","1.5","38.9","2.3","34.5","1.9","1400000US25017314302","Census Tract 3143.02, Middlesex County, Massachusetts"
"38.5","1.3","41.1","1.6","35.8","1.9","1400000US25017315100","Census Tract 3151, Middlesex County, Massachusetts"
"38.4","1.1","39.8","2.0","37.1","2.0","1400000US25017315200","Census Tract 3152, Middlesex County, Massachusetts"
"39.0","1.3","40.5","2.1","37.5","2.4","1400000US25017315401","Census Tract 3154.01, Middlesex County, Massachusetts"
"41.1","2.3","43.7","2.9","38.3","2.4","1400000US25017315402","Census Tract 3154.02, Middlesex County, Massachusetts"
"37.5","1.4","40.4","1.9","34.5","2.1","1400000US25017315403","Census Tract 3154.03, Middlesex County, Massachusetts"
"38.0","1.1","40.9","1.4","35.3","1.5","1400000US25017315500","Census Tract 3155, Middlesex County, Massachusetts"
"36.7","1.2","40.1","1.8","33.3","1.7","1400000US25017316101","Census Tract 3161.01, Middlesex County, Massachusetts"
"37.8","1.7","41.7","2.6","33.5","2.4","1400000US25017316102","Census Tract 3161.02, Middlesex County, Massachusetts"
"37.9","1.8","40.5","2.4","34.8","2.3","1400000US25017316201","Census Tract 3162.01, Middlesex County, Massachusetts"
"40.1","1.3","41.0","2.0","39.1","1.3","1400000US25017316202","Census Tract 3162.02, Middlesex County, Massachusetts"
"38.5","1.2","41.8","1.8","34.7","2.1","1400000US25017316300","Census Tract 3163, Middlesex County, Massachusetts"
"38.8","1.2","40.8","1.4","36.2","1.4","1400000US25017316400","Census Tract 3164, Middlesex County, Massachusetts"
"37.7","1.5","39.5","1.9","35.8","2.2","1400000US25017316500","Census Tract 3165, Middlesex County, Massachusetts"
"39.9","1.3","42.0","1.7","38.0","2.3","1400000US25017317101","Census Tract 3171.01, Middlesex County, Massachusetts"
"38.3","1.4","40.7","1.3","35.5","2.1","1400000US25017317102","Census Tract 3171.02, Middlesex County, Massachusetts"
"38.2","1.4","40.6","1.9","35.3","2.1","1400000US25017317103","Census Tract 3171.03, Middlesex County, Massachusetts"
"38.0","1.7","41.1","2.3","34.7","2.5","1400000US25017317201","Census Tract 3172.01, Middlesex County, Massachusetts"
"41.3","2.3","44.5","2.3","38.0","3.4","1400000US25017317202","Census Tract 3172.02, Middlesex County, Massachusetts"
"38.5","1.4","42.3","1.7","34.1","2.1","1400000US25017317203","Census Tract 3172.03, Middlesex County, Massachusetts"
